query	answer	mod	id	host
штраф за непробитый чек	Когда кассир не пробил чек в момент расчета, сведения о выручке не попадут в ФНС. За это нарушение предусмотрен штраф до 100 процентов от суммы расчета, но не менее 30 000 руб. (п. 2 ст. 14.5 КоАП).	86	277941	vip.1gl.ru
госпошлина за выдачу судебного приказа	50% размера госпошлины, взимаемой при подаче искового заявления имущественного характера	16	88397	vip.1gl.ru
ндс с авансов предлагают отменить	НДС с авансов могут отменить. Петиция с таким предложением опубликована на сайте Российской общественной инициативы (РОИ). Авторы инициативы считают, что отмена НДС с авансов не приведет к потерям бюджета, но будет кассовый разрыв. То есть отмена НДС с аванса всего лишь отодвинет срок возникновения обязанности исчисления НДС до момента реализации. 	86	484120	vip.1gl.ru
прием на работу гражданина киргизии	При приеме на работу гражданин Киргизии должен принести общий пакет документов (ч. 1 ст. 65 ТК, п. 4 ст. 97 Договора о Евразийском экономическом союзе от 29.05.2014). Также такие граждане должны предъявить действующий на территории России полис ДМС. При этом предъявлять такой полис не нужно, если работодатель заключает с медицинской организацией договор о предоставлении платных медицинских услуг сотруднику-иностранцу (ч. 1 ст. 327.3 ТК, п. 3 ст. 98 Договора о Евразийском экономическом союзе от 29.05.2014).	12	403383	vip.1gl.ru
обязательные реквизиты первичных документов	При этом первичный документ должен содержать обязательные реквизиты (ч. 2 ст. 9 Закона от 06.12.2011 № 402-ФЗ, п. 4, 8 ФСБУ 27/2021): наименование документа; дата составления документа; наименование экономического субъекта (организации), составившего документ; содержание факта хозяйственной жизни; величина натурального и (или) денежного измерения факта хозяйственной жизни с указанием единиц измерения; наименование должностей лиц, совершивших сделку, операцию, и ответственных за ее оформление, либо наименование должностей лиц, ответственных за оформление свершившегося события; подписи указанных лиц с расшифровкой и иную информацию, необходимую для идентификации этих лиц.	86	485001	vip.1gl.ru
восстановление работника по решению суда	Сотрудника могут восстановить на работе, если работодатель нарушил процедуру оформления увольнения по сокращению штата или численности (ст. 180 ТК).	12	409779	vip.1gl.ru
срок на возврат госпошлины из бюджета	Документы на возврат госпошлины можно подать в течение трех лет с момента ее уплаты (абз. 7 п. 3 ст. 333.40 НК).	86	175438	vip.1gl.ru
документы на возврат госпошлины	К заявлению приложите оригиналы платежных документов (квитанции банка либо местных администраций и т. д.) – если платили наличными, копии – при безналичных перечислениях. Дополнительные документы не нужны, если в информационной системе государственных и муниципальных платежей есть информация о платеже.	86	175438	vip.1gl.ru
восстановление срока на зачет госпошлины	Госпошлину можно зачесть в течение трех лет со дня уплаты госпошлины или принятия судом решения о возврате госпошлины (п. 6 ст. 333.40 НК). Если срок истек, организация теряет право на зачет госпошлины. Срок можно восстановить, если суд признает, что организация пропустила его по уважительной причине (ст. 112 ГПК, ст. 117 АПК).	86	380189	vip.1gl.ru
когда решат о зачете госпошлины	Срок принятия решения о зачете – 10 дней со дня получения заявления (п. 5 ст. 78, п. 7 ст. 333.40 НК). В случае отказа в возврате госпошлины вам обязаны сообщить в письменной форме в течение пяти дней (п. 9 ст. 78, п. 7 ст. 333.40 НК). 	86	380189	vip.1gl.ru
прием на работу иностранных граждан	Перед тем как принимать на работу сотрудника-иностранца, убедитесь, что у него нет ограничений на въезд в Россию. Затем выясните, нужно ли на этого сотрудника получить разрешительную документацию. Обязательна она или нет, зависит от статуса иностранного сотрудника, а также от условий международных договоров. После того как заключите трудовой договор с иностранцем, уведомите об этом подразделение МВД по вопросам миграции.	16	116520	vip.1gl.ru
заявление о смене снилс если сотрудник поменял фамилию	Чтобы подать сведения об изменении фамилии в лицевом счете сотрудника, получите от него заявление в произвольной форме.	12	396643	vip.1gl.ru
повторное предоставление документов в налоговую	ИФНС вправе запросить документы повторно: если организация отдавала подлинники, которые инспекторы впоследствии вернули; если копии были утрачены инспекторами в связи с обстоятельствами непреодолимой силы.	12	338982	vip.1gl.ru
срок отпуск для сотрудника инвалида	Сотрудники-инвалиды вправе использовать удлиненный отпуск – 30 календарных дней вместо 28.	16	62477	vip.1gl.ru
нужно ли предоставлять отпуск надомникам	Ежегодные отпуска предоставляйте всем сотрудникам, которые работают в организации по трудовому договору, в том числе: совместителям (ч. 2 ст. 287 ТК); сезонным работникам (ст. 295 ТК); сотрудникам, с которыми заключен срочный трудовой договор на срок до двух месяцев (ст. 291 ТК); надомникам (ч. 4 ст. 310 ТК); дистанционным сотрудникам (ст. 312.4 ТК).	16	62477	vip.1gl.ru
нужно ли предоставлять отпуск удаленщикам	Ежегодные отпуска предоставляйте всем сотрудникам, которые работают в организации по трудовому договору, в том числе: совместителям (ч. 2 ст. 287 ТК); сезонным работникам (ст. 295 ТК); сотрудникам, с которыми заключен срочный трудовой договор на срок до двух месяцев (ст. 291 ТК); надомникам (ч. 4 ст. 310 ТК); дистанционным сотрудникам (ст. 312.4 ТК).	16	62477	vip.1gl.ru
кому положен отпуск в любое время вне графика	Также есть категории работников, кому всегда нужно предоставлять отпуск в удобное для них время. График отпусков значения не имеет. Вот некоторые из таких сотрудников: мужья в период, когда их жены в отпуске по беременности и родам (ст. 123 ТК); работники, у которых трое и более детей в возрасте до 18 лет, до достижения младшим из детей 14 лет или одним из старших – 18 (ст. 262.2 ТК); родители детей-инвалидов (ст. 262.1 ТК); ветераны (ст. 14–19 Закона от 12.01.1995 № 5-ФЗ); чернобыльцы (п. 5 ст. 14 Закона от 15.05.1991 № 1244-1); жены военнослужащих (п. 11 ст. 11 Закона от 27.05.1998 № 76-ФЗ).	16	74014	vip.1gl.ru
надо ли прерывать отпуск по уходу для ежегодного отпуска	Чтобы такая сотрудница могла пойти в основной оплачиваемый отпуск, ей нужно прервать отпуск по уходу за ребенком. Прерванный отпуск по уходу впоследствии можно возобновить.	16	62477	vip.1gl.ru
сколько заявлений писать на отпуск внутреннему совместителю	Если в вашей организации предусмотрено написание заявлений, то работник должен подать два заявления: первое – о предоставлении отпуска по основному месту работы, второе – о предоставлении отпуска по совместительству.	16	62477	vip.1gl.ru
отпуск сотрудникам в командировке на крайнем севере	Не предоставляйте дополнительный «северный» отпуск сотрудникам, которые были в командировке в районе Крайнего Севера или приравненных к нему местностях.	16	62477	vip.1gl.ru
где прописан список сотрудников с особым характером работы	Право на дополнительный отпуск есть у сотрудников с особым характером работы (ст. 118 ТК). Перечень категорий сотрудников с особым характером работы должно установить Правительство – в настоящее время такого документа нет.	16	62477	vip.1gl.ru
можно ли отгулять все скопившиеся отпуска разом	Предоставьте сотруднику возможность использовать все накопленные отпуска. Сделать это единовременно ТК не запрещает.	16	62477	vip.1gl.ru
знакомить сотрудников с графиком отпусков	Чтобы избежать возможных претензий, знакомьте сотрудников с графиком отпусков под подпись.	12	308909	vip.1gl.ru
отозвать сотрудника из отпуска без содержания	Отзывать сотрудника можно только из ежегодного оплачиваемого отпуска. На отпуска за свой счет это правило не действует (ст. 125 ТК).	86	125443	vip.1gl.ru
сотрудник не согласен выйти из отпуска	Обязательное условие для оформления отзыва из отпуска – сотрудник согласен вернуться на работу. Если сотрудник не согласен на отзыв, прерывать отпуск запрещается. Это следует из части 2 статьи 125 ТК. Отказ сотрудника выйти на работу не является нарушением трудовой дисциплины (п. 37 постановления Пленума ВС от 17.03.2004 № 2).	86	125444	vip.1gl.ru
куда выплачивать больничный чернобыльцу	Исключение действует только для пособий чернобыльцам в размере 100%, независимо от страхового стаж. Их перечисляйте только на карты «Мир». Но если сотрудник, которому выплачиваете больничный – чернобылец, который болеет не чаще одного раза в год, больничные можно выплатить на любую карту (п. 5.4, 5.5 ст. 30.5 Закона от 27.06.2011 № 161-ФЗ).	16	117934	vip.1gl.ru
срок оплаты ндфл с больничного по временной нетрудоспособности	Срок уплаты НДФЛ с больничного по временной нетрудоспособности за первые три дня – последнее число месяца, в котором выплатили больничное пособие (абз. 2 п. 6 ст. 226 НК).	16	117934	vip.1gl.ru
журнал учета заявлений на отпуск по беременности и родам	Закон не обязывает работодателя вести журнал учета заявлений на отпуск по беременности и родам. Решение о ведении журнала и порядок его оформления работодатель вправе принять самостоятельно и прописать в локальном документе. Например, положении о кадровом делопроизводстве.	86	430058	vip.1gl.ru
шаблон приказа на отпуск по родам	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	430058	vip.1gl.ru
кого ознакомить с приказом о беременности и родах	Ознакомьте с приказом саму декретницу, а также ее непосредственного руководителя, начальника отдела кадров и главного бухгалтера. Они будут знать, какие коды ставить в табеле, какие выплаты оформить работнице, а также как решить вопрос с замещением сотрудницы на время декрета.	86	430058	vip.1gl.ru
срок оформления приказа на отпуск по беременности и родам	Точного срока оформления приказа на отпуск по беременности и родам в законе нет. Дата оформления зависит от того, когда сотрудница подаст заявление на отпуск по беременности и родам. На день начала отпуска приказ должен быть оформлен.	86	430058	vip.1gl.ru
где зарегистрировать приказ о беременности и родах	Приказ зарегистрируйте в журнале регистрации кадровых приказов. Подробнее в Какие документы относятся к документам по личному составу.	86	430058	vip.1gl.ru
срок подачи заявления на отпуск по беременности	Точный срок представления заявления на отпуск по беременности не указан ни в одном законе. От того, когда сотрудница подаст заявление, зависят даты отпуска по беременности и родам. Сотрудница вправе использовать дни отпуска в период, который указал врач в листке нетрудоспособности.	86	430058	vip.1gl.ru
атрибуты заявления на отпуск по беременности	В заявлении сотрудница указывает номер и дату больничного листа, на основании которого надо предоставить декретный отпуск. Листок нетрудоспособности подтверждает право на отпуск и пособие (ч. 1 ст. 255 ТК, раздел VIII Порядка, утв. приказом Минздрава от 01.09.2020 № 925н). Сотрудница подписывает заявление. Рядом расшифровывает подпись и ставит дату.	86	430058	vip.1gl.ru
шаблон заявления на отпуск по родам	Унифицированного бланка заявления на отпуск по беременности и родам нет. Сотрудница пишет заявление в произвольной форме на имя руководителя. Текст заявления – просьба предоставить отпуск по беременности и родам. В заявлении сотрудница указывает даты начала и окончания отпуска по беременности и родам. Даты не могут выходить за пределы периода нетрудоспособности из больничного листа.	86	430058	vip.1gl.ru
оформить заявление по беременности вместе с пособием	Заявление на отпуск по беременности и родам можно оформить отдельным документом, а можно внутри заявления о назначении пособия, которое оформляют обязательно. Специальных требований к оформлению заявления на отпуск по беременности и родам нет.	86	430058	vip.1gl.ru
запись об отпуске по уходу в трудовой книжке	На основании полученных документов издайте приказ. Сведения об отпуске отразите в личной карточке сотрудника и табеле учета рабочего времени. В трудовую книжку запись о предоставлении отпуска вносить не нужно.	86	466652	vip.1gl.ru
лимит срока отпуска по уходу за ребенком	Сотрудник может написать заявление на отпуск максимальной продолжительности – три года. Однако многие оформляют заявление на отпуск до 1,5 лет – в течение этого периода сотрудник имеет право получать пособие по уходу за ребенком. Ниже образцы заявлений на отпуск до 1,5 и 3 лет.	86	466652	vip.1gl.ru
документы для оформления пособия по уходу	Если сотрудник просит одновременно предоставить ему отпуск по уходу за ребенком и назначить соответствующее пособие, к заявлению он должен приложить справку с места работы второго родителя. В этой справке должно быть указано, что второй родитель такой отпуск не оформлял и пособие по уходу за ребенком до 1,5 лет не получает. Эту справку второй родитель получает у своего работодателя. Без такого документа назначить пособие по уходу за ребенком не получится.	86	466652	vip.1gl.ru
документы если отпуск по уходу оформляет бабушка	Если отпуск по уходу за ребенком оформляет не мама или папа, а другой родственник, то потребуются справки с мест работы родителей. Если отец или мать не работают, то такую справку они получают в органах соцзащиты по месту жительства (подп. «ж» п. 56 Порядка, утв. приказом Минтруда от 29.09.2020 № 668н).	86	466652	vip.1gl.ru
какой приказ нужен на отпуск по уходу	На основании заявления и документов, полученных от работника, издайте приказ на отпуск по форме № Т-6 или на самостоятельно разработанном бланке. В приказе дополнительно укажите решение о выплате пособия по уходу за ребенком до 1,5 лет и периоде его выплаты.	86	466652	vip.1gl.ru
какими буквами отразить отпуск по уходу в табеле	В табеле учета рабочего времени дни отпуска по уходу за ребенком отражайте буквами «ОЖ» либо цифровым кодом «15» или иным кодом, самостоятельно разработанным организацией для подобного случая. Такие обозначения устанавливает раздел 2 указаний, утвержденных постановлением Госкомстата от 05.01.2004 № 1, их применяют, когда заполняют унифицированную форму табеля. Их же можно применять, если коммерческая организация заполняет табель по самостоятельно разработанной форме.	86	466652	vip.1gl.ru
можно ли работать в отпуске по уходу	Находясь в отпуске по уходу за ребенком, сотрудник может работать на условиях неполного рабочего времени. Тогда в табеле необходимо отразить оба действия. Чтобы показать отпуск по уходу за ребенком, в коммерческих организациях используют буквенный код «ОЖ» или цифровой код «15». Чтобы отметить в табеле, что сотрудник работает, используют буквенный код «Я» или цифровой код «01». Двойные коды можно проставить через слеш (/) или добавить в табель дополнительную строку (раздел 2 указаний, утв. постановлением Госкомстата от 05.01.2004 № 1, письмо Роструда от 18.03.2008 № 660-6-0). Ниже представлен образец, как заполнять табель учета рабочего времени при работе на условиях неполного рабочего времени в период отпуска по уходу за ребенком.	86	466652	vip.1gl.ru
выход досрочно из отпуска по уходу возможен ли	Выйти из отпуска по уходу за ребенком до трех лет сотрудник может досрочно или после того, как закончится отпуск. Если работник выходит досрочно, то от него потребуется заявление.	86	466652	vip.1gl.ru
положены ли выплаты по уходу за ребенком при работе на неполный день	Когда сотрудник начинает трудиться на условиях неполного рабочего времени, отпуск прерывать не нужно. В этой ситуации сотрудник продолжает получать все положенные выплаты (ч. 3 ст. 256 ТК, ч. 2 ст. 11.1 Закона от 29.12.2006 № 255-ФЗ, п. 46 Порядка, утв. приказом Минтруда от 29.09.2020 № 668н). Образец заявления о выходе на работу на условиях неполного рабочего времени представлен ниже.	86	466652	vip.1gl.ru
документы для оформления отпуску по уходу за ребенком	К заявлению на отпуск по уходу приложите документы, которые подтверждают рождение ребенка или установление опеки. К этим документам относятся: свидетельство о рождении (усыновлении) ребенка и его копия или документ и его копия, подтверждающие факт рождения и регистрации ребенка, – при рождении ребенка на территории иностранного государства (выдает консульское учреждение России за границей, другое компетентное ведомство); свидетельство об усыновлении ребенка и его копия (при усыновлении ребенка); выписка из решения об установлении над ребенком опеки (предоставляет опекун); свидетельства о рождении (усыновлении, смерти) предыдущих детей и их копии (представляют сотрудницы, у которых уже есть (были) дети).	86	466652	vip.1gl.ru
за сколько работодатель выплачивает больничный	Работодатель назначает и выплачивает больничное пособие только за первые три дня болезни самого сотрудника. Назначайте пособие в течение 10 календарных дней после того, как сотрудник представил верно оформленный больничный листок (ч. 1 ст. 15 Закона от 29.12.2006 № 255-ФЗ, ст. 6 Закона от 29.12.2020 N 478-ФЗ). Срок выплаты пособия по больничному листу работодателем за первые три дня болезни – ближайший день после назначения пособия, который установлен для выплаты зарплаты.	86	416627	vip.1gl.ru
срок выплаты пособия ФСС	Начиная с четвертого дня болезни сотрудника и за оставшиеся дни болезни больничное пособие оплачивает территориальный орган ФСС. Выплатить пособие ФСС должен в течении 10 календарных дней со дня получения документов либо реестра сведений, которые необходимы для назначения и выплаты пособия (п. 11 Положения, утв. постановлением Правительства от 30.12.2020 № 2375).	86	416627	vip.1gl.ru
пособие за заболевшим ребенком кто платит	Больничное пособие по уходу за заболевшим ребенком или родственником, пособие по беременности и родам назначает и выплачивает за все дни территориальный орган ФСС в полном объеме. Основание – закон от 29.12.2020 № 478-ФЗ, постановление Правительства от 30.12.2020 № 2375.	86	416627	vip.1gl.ru
надо ли платить ндфл с больничного	Пособие по временной нетрудоспособности, как и зарплата, – это объект налогообложения, который формирует налоговую базу по НДФЛ (подп. 6 п. 1 ст. 208, п. 1 ст. 209, п. 1 ст. 210, п. 1 ст. 217 НК). Работодатель признается налоговым агентом и обязан исчислить, удержать из доходов и перечислить НДФЛ с сумм, которые выплачивает сотрудникам (п. 1, 4 ст. 226 НК).	86	407201	vip.1gl.ru
ставка ндфл для больничного пособия	НДФЛ удерживают по ставке 13 процентов со всей суммы больничного пособия (п. 1 ст. 217, п. 1 ст. 224 НК). Налог удерживают независимо от того, в связи с каким страховым случаем назначили пособие, даже в связи с несчастным случаем на производстве или профзаболеванием (письма Минфина от 16.04.2019 № 03-04-05/27097, от 29.04.2013 № 03-04-05/14992). Исключение – пособие по беременности и родам, оно освобождено от НДФЛ (п. 1 ст. 217 НК).	86	407201	vip.1gl.ru
как рассчитать базу для нфдл с больничного	Налоговую базу для НДФЛ рассчитывают нарастающим итогом ежемесячно (п. 2, 3 ст. 226 НК). Как налоговому агенту рассчитать НДФЛ по ставке 13 процентов – в рекомендации.	86	407201	vip.1gl.ru
пособие по беременности и родам нфдл	Пособие по беременности и родам не облагается НДФЛ (п. 1 ст. 217 НК). Пособие выплачивают на основании листка нетрудоспособности и заявления (п. 5 ст. 13 Закона от 29.12.2006 № 255-ФЗ). Как оформить отпуск и пособие по беременности и родам – в рекомендации.	86	407201	vip.1gl.ru
ндфл при уходе за больным ребенком	Пособие по больничным листам по уходу за больным ребенком облагается НДФЛ в общем порядке. ФСС оплачивает пособие в полном объеме с первого дня болезни ребенка. НДФЛ удерживает ФСС при фактической выплате такого пособия как налоговый агент (подп. 1 п. 1 ст. 223 НК, п. 1, 4 ст. 226 НК).	86	407201	vip.1gl.ru
ндфл при уходе за ребенком инвалидом	С больничных по уходу за ребенком-инвалидом платят НДФЛ по общим правилам. Налог самостоятельно начисляет и удерживает ФСС. Налог будет перечислен в бюджет не позднее последнего числа месяца, в котором была выплата (п. 1 ст. 217, подп. 1 п. 1 ст. 223, п. 1 ст. 224 НК, п. 1, 4, абз. 2 п. 6 ст. 226 НК).	86	407201	vip.1gl.ru
дополнительные выходные за ребенком инвалидом облагаются ли нфдл	Дополнительные выходные дни по уходу за ребенком-инвалидом не относятся к больничному пособию и не облагаются НДФЛ (п. 78 ст. 217 НК, письмо Минфина от 16.12.2019 № 03-04-05/98044).	86	407201	vip.1gl.ru
больничный лист после увольнения	В течение 30 дней после увольнения сотрудник может принести бывшему работодателю больничный лист. Выплаты по больничному листу после увольнения облагают НДФЛ в общем порядке. Причина увольнения не имеет значения (п. 2 ст. 5 Закона от 29.12.2006 № 255-ФЗ).	86	407201	vip.1gl.ru
срок уплаты НДФЛ с больничного при увольнении сотрудника	Со всей суммы больничного пособия удерживают НДФЛ по ставке 13 процентов при фактической выплате. За первые три дня болезни выплачивает пособие и удерживает НДФЛ работодатель, начиная с четвертого – ФСС (п. 1 ст. 217, подп. 1 п. 1 ст. 223, п. 1 ст. 224, п. 1, 4 ст. 226 НК). Срок уплаты НДФЛ с больничного при увольнении сотрудника – не позднее последнего числа месяца, в котором выплачено пособие по временной нетрудоспособности. Особенностей при перечислении налога в связи с увольнением сотрудника нет (п. 6 ст. 226 НК, письмо Минфина от 11.06.2019 № 21-08-11/42596). Днем получения дохода бывшего сотрудника будет день выплаты больничного (подп. 1 п. 1 ст. 223, п. 1, 4 ст. 226 НК).	86	407201	vip.1gl.ru
пособия по переходящему больничному листу ндфл	Пособия по переходящему больничному листу облагаются НДФЛ в общем порядке по ставке 13 процентов (п. 1 ст. 217, п. 1 ст. 224 НК). По больничному, переходящему с одного календарного года на другой, пособие рассчитывают исходя из среднего заработка сотрудника за два календарных года, предшествующих году начала временной нетрудоспособности. То есть году, в котором открыт больничный лист (п. 1 ст. 14 Закона от 29.12.2006 № 255-ФЗ).	86	407201	vip.1gl.ru
больничный на карантине кто платит	ФСС выплачивает больничный на карантине самостоятельно. Работодатель не признается налоговым агентом по НДФЛ, так как не является источником выплаты дохода. Когда пособие выплачивает ФСС, именно фонд и удерживает НДФЛ с дохода. Такие выводы следуют из пункта 1 статьи 226 НК.	86	407201	vip.1gl.ru
ндфл по больничному сотрудникам старше 65 лет 	НДФЛ по больничному сотрудникам старше 65 лет не исчисляйте и не удерживайте, если пособие назначил и выплатил ФСС напрямую за свой счет на основании листка нетрудоспособности. Такие листки фонд оформлял дистанционно (ч. 3 ст. 3 Закона от 29.12.2006 № 255-ФЗ, п. 1, 9, 10 Временных правил, утв. постановлением Правительства от 01.04.2020 № 402). Налоговым агентом будет ФСС, он же и удержит налог при выплате больничного пособия. Отражать НДФЛ, который исчислил и уплатил ФСС, в Справке о доходах и суммах налога физического лица и расчете 6-НДФЛ не нужно.	86	407201	vip.1gl.ru
кому платить больничный, если сотрудник умер	Пособие по больничному листу, который не успели выплатить умершему сотруднику, получает его наследник (п. 1 ст. 1183 ГК, ч. 5 ст. 15 Закона от 29.12.2006 № 255-ФЗ, письмо Минтруда от 23.06.2015 № 17-3/В-307). В данной ситуации с суммы больничного НДФЛ не начисляют и не удерживают.	86	407201	vip.1gl.ru
ндфл больничный умершему сотруднику	После смерти сотрудника обязанность налогового агента по уплате НДФЛ прекращается (подп. 3 п. 3 ст. 44 НК). Больничное пособие умершего родственника, которое получает гражданин в порядке наследования, не облагают НДФЛ (п. 18 ст. 217 НК, письмо Минфина от 17.09.2018 № 03-04-05/66356).	86	407201	vip.1gl.ru
надо ли писать заявление на отпуск без содержание	Чтобы оформить отпуск за свой счет, сотрудник должен написать заявление (ст. 128 ТК). Заявление необходимо независимо от того, какой отпуск за свой счет оформляет сотрудник – обязательный или нет. На основании заявления сотрудника издайте приказ о предоставлении отпуска. Приказ должен подписать руководитель, сотрудника необходимо ознакомить с ним под подпись.	86	410643	vip.1gl.ru
подтверждающие документы для отпуска без содержания	Но чтобы подтвердить право на обязательный отпуск за свой счет, рекомендуем приложить к заявлению копии подтверждающих документов. Это поможет снизить риски злоупотреблений, а также споров с сотрудником и трудовой инспекцией о правомерности отпуска. В коллективном договоре или локальном нормативном акте работодатель вправе установить перечень таких документов.	86	410643	vip.1gl.ru
отпуск без содержания на длительный срок	Если предоставляете сотруднику отпуск без сохранения зарплаты на длительный срок (несколько месяцев или лет), оформите один приказ. Независимо от продолжительности отпуска правила его оформления едины. Сотрудник пишет заявление, а работодатель издает приказ. Об этом — в статье 128 ТК.	86	410643	vip.1gl.ru
нужны ли даты в заявлении на отпуск без содержания	Важно: сотрудник в заявлении должен писать конкретный срок, на который он просит отпуск. Нельзя оформить заявление без даты окончания отдыха за свой счет. Если нужно, по окончании отпуска можно оформить еще один отдых без содержания.	86	410643	vip.1gl.ru
сколько хранить приказы на отпуск без содержания	Приказы на отпуск за свой счет храните: — не менее 75 лет — если они изданы до 2003 года; — не менее 50 лет — если они изданы после 2003 года.	86	410643	vip.1gl.ru
как в табеле отметить отпуск без содержания	Отпуск без сохранения зарплаты отмечайте в табеле кодом «А» – неявки с разрешения администрации. Такой код есть в Методических указаниях, утвержденных приказом Минфина от 30.03.2015 № 52н. Используйте его независимо от того, обязан работодатель предоставить отпуск или предоставляете отпуск по соглашению сторон.	86	410643	vip.1gl.ru
