query	answer	mod	id	host
можно ли направить в комнадировку удаленщика	В командировку с учетом всех запретов и ограничений можно направить только штатного сотрудника, с которым заключен трудовой договор, в том числе дистанционщиков, надомников, совместителей (ст. 166 ТК).	16	74163	vip.1gl.ru
можно ли направить в компандировку не штатного сотрудника	В командировку с учетом всех запретов и ограничений можно направить только штатного сотрудника, с которым заключен трудовой договор, в том числе дистанционщиков, надомников, совместителей (ст. 166 ТК).	16	74163	vip.1gl.ru
командировка по договору подряда что прописать в договоре	Условия служебных поездок таких лиц должны быть прописаны в договоре. В частности, в договоре укажите на возможность поездок и оговорите, что заказчик возмещает исполнителю фактически произведенные затраты, связанные с поездкой. Если заранее предусмотреть необходимость поездки нельзя, то необходимые условия следует внести в договор после того, как он заключен. Дополнения оформите в виде письменного соглашения и приложите к договору.	16	74163	vip.1gl.ru
командировка иностранца	Направление иностранцев в служебную поездку возможно только при соблюдении целого ряда условий. При этом конкретный порядок зависит от места командирования: по территории России или за рубеж.	16	74163	vip.1gl.ru
командировка в отпуске по уходу за ребенком	Таким образом, по общему правилу сотрудника, который совмещает отпуск по уходу за ребенком с работой, можно направить в командировку на общих основаниях. При этом в ряде случаев работодатель обязан запросить предварительное согласие работника на поездку.	16	74163	vip.1gl.ru
кого нельзя направить в командировку	Запрещается направлять в командировку: сотрудников в период действия ученического договора, если командировка не связана с ученичеством; беременных женщин; сотрудников моложе 18 лет. Исключение – отдельные категории творческих работников и спортсмены. Перечень творческих работников, которых можно привлечь к ночной работе, утвердили в постановлении Правительства от 28.04.2007 № 252; работников, которые отказались от командировки либо выразили согласие на направление в командировку, но она противопоказана им по состоянию здоровья согласно медицинскому заключению.	16	74163	vip.1gl.ru
уволить за отказ от камандировки	Да, можно, но только при одновременном соблюдении двух условий: если сотрудник не вправе отказаться от командировки и у него есть непогашенное дисциплинарное взыскание.	16	74163	vip.1gl.ru
командировка невыездному сотруднику	Командировкой признают служебную поездку сотрудника по распоряжению руководителя для выполнения какого-либо поручения вне места постоянной работы (ст. 166 ТК). Если сотрудника направляют в командировку в пределах города или же за пределы города, но сотрудник согласовал это со следователем, то такая командировка не будет нарушением. В остальных случаях направить такого работника в командировку нельзя.	16	74163	vip.1gl.ru
какие расходы оплачивают в командировке	Штатному сотруднику, направленному в командировку, организация обязана возместить: оплату проезда; расходы на наем жилья; суточные; другие расходы, произведенные с разрешения или ведома администрации организации.	16	120956	vip.1gl.ru
дни болезни во время командировки сотрудника	Если сотрудник в командировке заболел, средний заработок за дни болезни не сохраняйте. За этот период сотруднику нужно выплатить суточные и больничное пособие. Кроме того, возместите сотруднику расходы на наем жилья (кроме случаев, когда он находился на стационарном лечении).	16	120956	vip.1gl.ru
сверхурочная работа во время командировки	Оплачивайте сверхурочную работу во время командировки в повышенном размере.	16	120956	vip.1gl.ru
работа в ночное время во время командировки	Оплачивайте работу в ночное время в повышенном размере.	16	120956	vip.1gl.ru
командировка сотруднику неполный день	Сотруднику, который работает неполное рабочее время, зарплату рассчитывают пропорционально отработанному времени. Если такого человека направляют в командировку, правило пропорциональной оплаты не действует. За дни нахождения в командировке сотруднику начисляют среднюю зарплату, которую рассчитывают по общему правилу (п. 4 положения, утв. постановлением Правительства от 24.12.2007 № 922). Высчитывать пропорцию от среднего не нужно.	16	120956	vip.1gl.ru
какой код написать в табеле, если сотрудника нет на месте	Если причина отсутствия сотрудника на рабочем месте неизвестна, в табеле учета рабочего времени по форме № Т-12 или № Т-13 поставьте буквенный код «НН».	16	113022	vip.1gl.ru
разница между надомником и удаленщиком	На дистанционных сотрудников распространяются общие нормы трудового законодательства, работа осуществляется на основании трудового договора на постоянной основе либо временно (ч. 3 ст. 312.1 ТК). У трудовых отношений с такими сотрудниками есть свои особенности, которые регулирует: глава 49.1 ТК; Закон от 06.11.2011 № 63-ФЗ, который описывает порядок получения электронной подписи и обмена электронными документами между сотрудником и работодателем. Работу надомников оформляют не так, как дистанционную.	16	116183	vip.1gl.ru
удаленщики в штате или нет	Штатное расписание отражает структуру, штатный состав и штатную численность сотрудников организации (ст. 57 ТК, раздел 1 указаний, утв. постановлением Госкомстата от 05.01.2004 № 1). Каких-либо исключений по включению должностей и профессий дистанционных сотрудников в штатное расписание трудовое законодательство не устанавливает. Таким образом, дистанционных сотрудников необходимо включать в штат организации.	16	116183	vip.1gl.ru
испытательный срок удаленщикам	Условие об испытании сотрудника устанавливают при заключении трудового договора и только по соглашению сторон. В отношении отдельных категорий сотрудников закон содержит запрет на установление испытания. Дистанционные сотрудники к указанным категориям не относятся.	16	116183	vip.1gl.ru
документы при удаленной работе	Стороны вправе обмениваться при удаленной работе документами в электронном виде. Работодатель должен использовать усиленную квалифицированную электронную подпись, а сотрудник – усиленную квалифицированную электронную подпись или усиленную неквалифицированную электронную подпись.	16	116183	vip.1gl.ru
эцп сотруднику	Усиленную квалифицированную электронную цифровую подпись сотрудник может получить в удостоверяющих центрах, которые аккредитованы в Минкомсвязи и имеют специальную лицензию ФСБ. Уточнить адрес ближайшего удостоверяющего центра можно на сайте госуслуг или Минцифры.	16	116183	vip.1gl.ru
дистанционщика привлекли к сверхурочной работе законно ли	Режим рабочего времени дистанционный сотрудник устанавливает по своему усмотрению. Но если характер работы требует, чтобы сотрудник выполнял работу в определенные дни или часы, то конкретный режим работы следует закрепить в трудовом договоре или дополнительном соглашении к нему. Такой вывод следует из совокупности положений статей 72, 312.4 Трудового кодекса.	16	116183	vip.1gl.ru
нумерация трудовых договоров	Однозначного ответа на этот вопрос закон не содержит. Обязательные сведения, которые должен содержать трудовой договор, перечислены в статье 57 Трудового кодекса. Трудовой договор, который заключен со спортсменом, тренером, дополнительно должен содержать обязательные условия, перечисленные в статье 348.2 Трудового кодекса. К числу обязательных сведений номер трудового договора не относят.	16	115787	vip.1gl.ru
сотрудник потерял военный билет как принять	Если сотрудник при приеме на работу не может предоставить военный билет в связи с его утратой, сообщите об этом в военкомат. Так обезопасите себя от административной ответственности за то, что не сообщили о приеме на работу гражданина, который состоит или обязан состоять, но не состоит на воинском учете (ч. 3 ст. 21.4 КоАП).	16	115787	vip.1gl.ru
можно ли подписать трудовой договор факсимиле	Пункт 2 статьи 160 Гражданского кодекса, который предусматривает воспроизведение факсимильных подписей на договорах, в отношении трудовых договоров не применяют. Так как трудовые отношения, в том числе порядок заключения трудовых договоров и дополнительных соглашений к ним, регулирует исключительно трудовое законодательство (ст. 5 ТК). Трудовой договор оформляют в письменном виде в двух экземплярах, на каждом из которых стороны договора собственноручно ставят свои подписи (ст. 67 ТК).	16	115787	vip.1gl.ru
у сотрудника исполнительный лист можно ли отказать в приеме	Таким образом, нельзя отказать сотруднику в приеме на работу на основании наличия исполнительного листа.	12	430117	vip.1gl.ru
когда после приема издавать приказ	Вы вправе сами определить срок, в который оформляете приказ о приеме на работу и знакомите с ним сотрудника.	12	398743	vip.1gl.ru
штраф за необоснованный отказ в приеме	За необоснованный отказ в приеме на работу предусмотрена административная ответственность: для организации – от 30 000 до 50 000 руб.; для должностных лиц организации (например, руководителя) – от 1000 до 5000 руб.; для предпринимателей – от 1000 до 5000 руб.	16	65028	vip.1gl.ru
штраф за отказ принять беременную	За необоснованный отказ в заключении трудового договора с беременной или матерью детей в возрасте до трех лет должностное лицо работодателя привлекут к уголовной ответственности. Возможно наказание: штраф на сумму до 200 000 руб.; штраф в размере зарплаты или другого дохода осужденного за период до 18 месяцев; обязательные работы на срок от 120 до 360 часов. Об этом сказано в статье 145 УК.	16	65028	vip.1gl.ru
штраф за отказ принять инвалида	Законодательством предусмотрена отдельная административная ответственность за нарушение прав инвалидов при их трудоустройстве. Необоснованный отказ в приеме на работу инвалида в пределах установленной квоты влечет наложение штрафа на должностных лиц работодателя в размере от 5000 до 10 000 руб. (ст. 32 Закона от 24.11.1995 № 181-ФЗ, ч. 1 ст. 5.42 КоАП).	16	65028	vip.1gl.ru
причины отказа в приеме на работу	Отказать в трудоустройстве можно по основаниям: неподходящее образование; недостаточный опыт работы; отсутствие необходимой профессии и квалификации; медицинские противопоказания. Такой примерный перечень приведен в пункте 10 постановления Пленума Верховного суда от 17.03.2004 № 2.	16	65028	vip.1gl.ru
на что нельзя ссылаться при отказе в приеме на работу	Нельзя указывать в качестве причин отказа в приеме на работу беременность, наличие детей, отсутствие регистрации, пол, национальность, вероисповедание (ч. 2 и 3 ст. 64 ТК). Более того, запрещено устанавливать ограничения дискриминационного характера в объявлениях при поиске новых сотрудников на вакантные должности (п. 6 ст. 25 Закона от 19.04.1991 № 1032-1).	16	65028	vip.1gl.ru
испытательный срок для студента	Условие об испытании сотрудника устанавливают при заключении трудового договора и только по соглашению сторон. В отношении отдельных категорий сотрудников закон содержит запрет на установление испытания. Сами по себе студенты к указанным категориям не относятся. При этом запрет действует, в частности, в отношении несовершеннолетних лиц. Поэтому, если студент моложе 18 лет, установить ему испытательный срок при приеме на работу работодатель не вправе. Это следует из положений абзаца 4 статьи 70 Трудового кодекса.	16	56075	vip.1gl.ru
испытательный срок совместителю	Закон не устанавливает особенностей установления испытательного срока для совместителей при приеме на работу. Поэтому при приеме на работу совместителя ему можно установить срок испытания в общем порядке с учетом того, что отдельным категориям работников закон запрещает устанавливать испытание. Например, сотрудникам моложе 18 лет или беременным женщинам (ч. 4 ст. 70 ТК).	16	56075	vip.1gl.ru
установить испытательный срок для предпенсионера	При заключении трудового договора сотруднику может быть установлен испытательный срок (ст. 70 ТК). При этом закон не устанавливает особенностей установления испытания для предпенсионеров. Поэтому по общему правилу ему можно установить испытание, но с учетом общих ограничений (ч. 4 ст. 70 ТК). Например, нельзя установить испытательный срок, если с предпенсионером заключили трудовой договор на срок до двух месяцев или он был приглашен на работу в порядке перевода от другого работодателя.	16	56075	vip.1gl.ru
испытательный срок для мамы с ребеноком до полутора лет	Установить испытательный срок сотруднику с ребенком до 1,5 лет нельзя. Даже если работник сам согласен на такую проверку (ст. 70 ТК).	16	56075	vip.1gl.ru
какой испытательный срок при переводе на другую должность	Установить испытательный срок при переводе на другую должность нельзя. Даже если работник сам согласен на такую проверку. На это указывает статья 70 ТК и Роструд в письмах от 25.04.2011 № 1081-6-1, от 02.03.2011 № 520-6-1.	16	56075	vip.1gl.ru
где прописать испытательный срок	Условие об испытании с указанием его продолжительности включите в текст трудового договора.	16	56075	vip.1gl.ru
испытательный срок забыли просписать в договоре что делать	Условие об испытании может быть предусмотрено только при заключении трудового договора с работником и только по соглашению сторон. Если данный пункт в договоре отсутствует, это означает, что сотрудник зачислен в штат организации без испытания.	16	56075	vip.1gl.ru
обязателен ли испытательный срок для сотрудников	Условие об испытании не относится к обязательным условиям трудового договора.	16	56075	vip.1gl.ru
расширенный срок испытательного срока	Испытание на срок до шести месяцев можно установить: руководителю организации и его заместителям; главному бухгалтеру и его заместителям; руководителям филиалов, представительств и иных обособленных структурных подразделений.	16	56075	vip.1gl.ru
входит ли командировка в испытательный срок	Таким образом, период нахождения работника в командировке засчитывают в срок испытания.	16	56075	vip.1gl.ru
испытательный срок совместителю	Срок испытания совместителю, как внутреннему, так и внешнему, следует установить в общем порядке.	16	56075	vip.1gl.ru
испытательный срок для сотрудников на крайнем севере	Срок испытания установите по общим правилам. Закон не устанавливает особенностей испытательного срока для сотрудников, которых принимают на работу в местностях с особыми климатическими условиями.	16	56075	vip.1gl.ru
можно ли продлить испытательный срок	Закон запрещает продлевать срок испытания, даже если сотрудник согласен. Основание – статья 70 Трудового кодекса.	16	56075	vip.1gl.ru
продление испытательного срока на период болезни	Однако в срок испытания не входят периоды временной нетрудоспособности и иные периоды, когда сотрудник фактически отсутствовал на работе, например, был в отпуске. Специально оформлять продление испытания в таких случаях не нужно. Поскольку перенос срока окончания испытания не влечет какого-либо изменения статуса сотрудника (ч. 7 ст. 70 ТК).	16	56075	vip.1gl.ru
в каких случаях можно перейти на патент	В отношении каких видов деятельности можно применять патент, решают регионы (п. 2 ст. 346.43 НК). В НК установлен приблизительный список видов деятельности, по которым предприниматель вправе получить патент, и указана запрещенная деятельность, при которой патент не выдадут ни в одном регионе.	16	118203	vip.1gl.ru
когда нельзя перейти на патент	Независимо от региона на основании пункта 6 статьи 346.43 НК на ПСН не переводят: деятельность в рамках договора простого товарищества (договора о совместной деятельности) или договора доверительного управления имуществом; производство подакцизных товаров, добычу и реализацию полезных ископаемых; розницу через объекты стационарной торговой сети с площадью торгового зала более 150 кв. м; общепит через объекты с площадью зала обслуживания посетителей более 150 кв. м; опт и торговлю по договорам поставки; перевозки грузов и пассажиров, если для этих целей у ИП более 20 автомобилей в собственности, пользовании, владении или распоряжении; сделки с ценными бумагами или производными финансовыми инструментами, оказание кредитных и иных финансовых услуг.	16	118203	vip.1gl.ru
патент на розничную торговлю	Переводится ли розница на патент в вашем регионе, смотрите в законе субъекта. По НК на патент можно перевести розничную торговлю через объекты стационарной торговой сети с торговыми залами, объекты стационарной торговой сети без торговых залов и объекты нестационарной торговой сети (подп. 45 и 46 п. 2 ст. 346.43 НК). Розничная торговля по ОКВЭД2 входит в группировку с кодами 45 и 47.	16	118203	vip.1gl.ru
патент при торговле маркированными товарами	На патент нельзя перевести розничную торговлю товарами с обязательной маркировкой, которые перечислены в подпункте 1 пункта 3 статьи 346.43 НК. Это лекарства, обувь, меховая одежда и изделия из натурального меха.	16	118203	vip.1gl.ru
территория действия патента	Чтобы определить территорию действия патента, нужно смотреть региональный закон. Региональные власти могут установить территорию действия патента в пределах субъекта РФ, муниципального образования внутри него или группы муниципальных образований.	16	118203	vip.1gl.ru
патент на несколько объектов	Один патент применяют в отношении всех торговых точек, расположенных в пределах территории действия патента, если все торговые точки прописаны в приложении 3 к патенту с указанием их адресов и площадей. То есть единственный идентификатор торговой точки — ее адрес.	16	118203	vip.1gl.ru
патент на общепит	Переводится ли общепит на патент в вашем регионе, смотрите в законе субъекта. По НК на патент можно перевести услуги общепита через объекты общепита, у которых есть зал обслуживания посетителей, и без таких залов (подп. 47 и 48 п. 2, подп. 15 п. 3 ст. 346.43 НК).	16	118203	vip.1gl.ru
получить патент на услуги	Виды услуг, в отношении которых можно получить патент, смотрите в региональном законе. В НК установлен приблизительный список видов деятельности, и этот список открытый. К примеру, во многих регионах выдают патенты на ветеринарные, парикмахерские и косметические услуги, услуги в области фотографии.	16	118203	vip.1gl.ru
патент на оказание парикмахерских услуг	Во многих региональных законах по ПСН предусмотрены парикмахерские и косметические услуги. Эти услуги есть в перечне видов деятельности из НК (подп. 3 п. 2 ст. 346.43 НК). По ОКВЭД2 вид деятельности входит в группировку с кодом 96.02 «Предоставление услуг парикмахерскими и салонами красоты».	16	118203	vip.1gl.ru
патент на массаж	Переводится ли на патент в вашем регионе медицина, стоматология и массаж, смотрите в законе субъекта. По НК на патент можно перевести медицинскую и фармацевтическую деятельность, если есть лицензия и ИП не продает лекарства, подлежащие обязательной маркировке (подп. 38 п. 2 ст. 346.43 НК). По ОКВЭД2 медицинская и стоматологическая практика входит в группировку с кодом 86.2.	16	118203	vip.1gl.ru
патент на деятельность турагентств	Экскурсионные туристические услуги регионы вправе перевести на патент. Смотрите закон субъекта. В НК этот вид деятельности есть (подп. 41 п. 2 ст. 346.43 НК). По ОКВЭД2 деятельность по предоставлению экскурсионных туристических услуг входит в группировку с кодом 79.90.2. В рамках этого вида деятельности нельзя оказывать услуги турагентства (ОКВЭД2 — 79.11).	16	118203	vip.1gl.ru
патент на услуги проживания	Выдают ли в вашем регионе патент на оказание гостиничных услуг, смотрите в законе субъекта. В перечне видов деятельности из пункта 2 статьи 346.43 НК таких услуг нет, но этот список приблизительный и открытый. Регионы могут добавить любые виды деятельности из ОКВЭД2 и ОКПД2 (подп. 2 п. 8 ст. 346.43 НК). По ОКВЭД2 гостиничные услуги относятся к коду 55 «Деятельность по предоставлению мест для временного проживания».	16	118203	vip.1gl.ru
нужно ли самозанятым регистрировать ип	Определения «самозанятых» в законе нет. В широком смысле это форма занятости, при которой гражданин получает доход от его профессиональной деятельности, например оказания услуг или работ, реализации произведенных им товаров, при этом у него нет работодателя и наемных работников. Отдельные виды деятельности можно вести без регистрации ИП (абз. 2 п. 1 ст. 23 ГК, п. 6 ст. 2 Закона от 27.11.2018 № 422-ФЗ).	16	72530	vip.1gl.ru
какой транспорт освобожден от налога	Некоторые виды транспорта освобождены от уплаты налога. Например, к ним относятся следующие транспортные средства.	16	116597	vip.1gl.ru
нужно ли платить транспортный налог с прицепов	Транспортные средства, с которых нужно платить налог, перечислены в пункте 1 статьи 358 НК. Несамоходные наземные транспортные средства, к которым относятся, в частности, прицепы и полуприцепы, в этом пункте не названы. Следовательно, объектами налогообложения они не признаются.	16	116597	vip.1gl.ru
какой срок учебного отпуска	Продолжительность учебного отпуска должна быть указана в справке-вызове из учебного заведения. Типовая форма справки-вызова утверждена приказом Минобрнауки от 19.12.2013 № 1368.	16	53156	vip.1gl.ru
можно ли заменить учебный отпуск денежной выплатой	Денежной компенсацией можно заменить только ежегодный оплачиваемый отпуск (ст. 126 ТК). А учебные отпуска предоставляются на основании справки-вызова и не являются ежегодными.	16	53156	vip.1gl.ru
предоставить учебный отпуск аспиранту	Аспирантам, ординаторам и т. п. оплачиваемый учебный отпуск предоставьте при условии, что образование данного уровня такой сотрудник получает впервые. Или же когда организация направила на обучение сотрудника, уже имеющего образование данного уровня, заключив с ним соответствующий договор (ч. 1 ст. 177 ТК).	16	53156	vip.1gl.ru
учебный отпуск заочнику	Оплачиваемый учебный отпуск нужно предоставить тем сотрудникам, которые учатся: в вузах по заочной или очно-заочной форме в рамках программ бакалавриата, специалитета или магистратуры (ч. 1 ст. 173 ТК);	16	53156	vip.1gl.ru
учебный отпуск совместителю	Совместителям организация не обязана предоставлять учебный отпуск. Право на учебный отпуск возникает у сотрудников только по основному месту работы. Об этом сказано в части 1 статьи 287 ТК.	16	53156	vip.1gl.ru
сколько надо проработать для учебного отпуска	Администрация должна предоставить сотруднику учебный отпуск независимо от того, сколько времени он проработал в организации. Ограничения по стажу, дающему право на учебный отпуск, в законодательстве не установлены.	16	53156	vip.1gl.ru
когда уведомить об учебном отпуске	В то же время работодатель при предоставлении оплачиваемого отпуска связан минимальным трехдневным сроком выплаты отпускных (ч. 9 ст. 136 ТК РФ). Поэтому подать заявление на предоставление любого оплачиваемого отпуска (в т. ч. учебного) сотруднику рекомендуется с учетом этого срока.	16	54067	vip.1gl.ru
пособие на ребенка внешнему совместителю	Пособие выплатят получателю один раз независимо от количества мест работы. Оформление единовременного пособия при рождении ребенка по всем местам работы действующим законодательством не предусмотрено.	16	117691	vip.1gl.ru
пособие на ребенка если не уходил в декрет	Пособие при рождении ребенка положено всем родителям. При этом неважно, была мать ребенка в декретном отпуске или нет (ст. 11 Закона от 19.05.1995 № 81-ФЗ).	16	117691	vip.1gl.ru
срок обращения за пособием на ребенка	Сотрудник (сотрудница) вправе получить пособие в течение шести месяцев со дня рождения ребенка.	16	117691	vip.1gl.ru
когда приходить за пособием на ребенка	Сотрудник (сотрудница) вправе получить пособие в течение шести месяцев со дня рождения ребенка.	16	117691	vip.1gl.ru
предельный срок получения пособия на ребенка	Сотрудник (сотрудница) вправе получить пособие в течение шести месяцев со дня рождения ребенка.	16	117691	vip.1gl.ru
куда зачисляют пособия на ребенка	Детские пособия зачисляют на карты «МИР».	16	120167	vip.1gl.ru
срок выплаты пособия на ребенка фсс	ФСС выплатит пособие в течение 10 рабочих дней со дня, когда получит необходимые сведения для выплаты пособия.	16	122535	vip.1gl.ru
отпуск по уходу за ребенком дедушке	Отпуск по уходу за ребенком может быть предоставлен не только матери ребенка. Его может получить любой родственник, фактически ухаживающий за малышом (отец, бабушка, дедушка, другой родственник), а также опекун.	86	466650	vip.1gl.ru
несколько детей можно взять отпуск маме и папе	Если в семье есть несколько детей, требующих одновременного ухода (при рождении близнецов, тройни), то ухаживать за ними могут разные члены семьи. Например, за одним ребенком ухаживает мать, а за другим – бабушка. Каждый из них вправе оформить отпуск.	86	466650	vip.1gl.ru
уволить в отпуске по уходу	По инициативе организации уволить сотрудника в отпуске по уходу за ребенком нельзя. Ведь за сотрудником, который ухаживает за ребенком до трех лет, работодатель обязан сохранить рабочее место и его должность. Об этом сказано в статье 256 ТК. Исключением может быть расторжение трудового договора в случае ликвидации организации.	16	122779	vip.1gl.ru
срок уведомления при досрочном выходе из отпуска	Порядок уведомления работодателя о досрочном выходе на работу из отпуска по уходу за ребенком законом не установлен. Поэтому работодатель вправе закрепить такой порядок, в том числе срок предупреждения о досрочном выходе, в локальном акте организации (ст. 8 ТК).	16	56406	vip.1gl.ru
выход из отпуска по уходу когда	Выйти из отпуска по уходу за ребенком сотрудник обязан в первый рабочий день, который следует за днем исполнения ребенку трех лет. При этом оформлять какие-либо дополнительные документы об окончании отпуска закон не требует.	16	56406	vip.1gl.ru
ежегодный отпуск перед отпуском по беременности и родам	По желанию сотрудника сразу перед отпуском по уходу за ребенком или после него работодатель обязан предоставить ежегодный оплачиваемый отпуск (ч. 3 ст. 122 ТК).	16	56406	vip.1gl.ru
инструктаж после отпуска по уходу	Да, нужно провести повторный и внеплановый инструктаж по охране труда.	16	56406	vip.1gl.ru
увольнение в отпуске по уходу при ликвидации	Процедуру увольнения в связи с ликвидацией филиала, который находится в другой местности, проводят так же, как и при ликвидации организации (ч. 4 ст. 81 ТК). Увольнение в связи с ликвидацией возможно как во время болезни, так и в период отпусков сотрудников, в том числе отпусков по беременности и родам или по уходу за ребенком (ч. 4 ст. 261, ч. 6 ст. 81 ТК).	16	56406	vip.1gl.ru
